schema:name,schema:description,schema:url,schema:image,dcterms:identifier,schema:provider,schema:inLanguage,schema:educationalLevel,schema:timeRequired,schema:about,schema:keywords,schema:isAccessibleForFree,schema:price,schema:priceCurrency,schema:offers_url,schema:educationalCredentialAwarded
Ai Ibm Skillsbuild,,https://www.netacad.com/courses/ai-ibm-skillsbuild,,,Netacad,,,,,,,,,,
Business Venture,,https://www.netacad.com/courses/business-venture,,,Netacad,,,,,,,,,,
Compelling Reports,,https://www.netacad.com/courses/compelling-reports,,,Netacad,,,,,,,,,,
Computer Hardware Basics,,https://www.netacad.com/courses/computer-hardware-basics,,,Netacad,,,,,,,,,,
Computer Mobile Devices,,https://www.netacad.com/courses/computer-mobile-devices,,,Netacad,,,,,,,,,,
Cyber Threat Management,,https://www.netacad.com/courses/cyber-threat-management,,,Netacad,,,,,,,,,,
Data Analytics Essentials,,https://www.netacad.com/courses/data-analytics-essentials,,,Netacad,,,,,,,,,,
Digital Awareness,,https://www.netacad.com/courses/digital-awareness,,,Netacad,,,,,,,,,,
Discovering Entrepreneurship,,https://www.netacad.com/courses/discovering-entrepreneurship,,,Netacad,,,,,,,,,,
Endpoint Security,,https://www.netacad.com/courses/endpoint-security,,,Netacad,,,,,,,,,,
Engaging Stakeholders,,https://www.netacad.com/courses/engaging-stakeholders,,,Netacad,,,,,,,,,,
English For It1,,https://www.netacad.com/courses/english-for-it1,,,Netacad,,,,,,,,,,
English For It2,,https://www.netacad.com/courses/english-for-it2,,,Netacad,,,,,,,,,,
Ethical Hacker,,https://www.netacad.com/courses/ethical-hacker,,,Netacad,,,,,,,,,,
Exploring Iot Cisco Packet Tracer,,https://www.netacad.com/courses/exploring-iot-cisco-packet-tracer,,,Netacad,,,,,,,,,,
Exploring Networking Cisco Packet Tracer,,https://www.netacad.com/courses/exploring-networking-cisco-packet-tracer,,,Netacad,,,,,,,,,,
Getting Started Cisco Packet Tracer,,https://www.netacad.com/courses/getting-started-cisco-packet-tracer,,,Netacad,,,,,,,,,,
Introduction Data Science,,https://www.netacad.com/courses/introduction-data-science,,,Netacad,,,,,,,,,,
Introduction Iot,,https://www.netacad.com/courses/introduction-iot,,,Netacad,,,,,,,,,,
Introduction To Cybersecurity,,https://www.netacad.com/courses/introduction-to-cybersecurity,,,Netacad,,,,,,,,,,
Introduction To Modern Ai,,https://www.netacad.com/courses/introduction-to-modern-ai,,,Netacad,,,,,,,,,,
Javascript Essentials 1,,https://www.netacad.com/courses/javascript-essentials-1,,,Netacad,,,,,,,,,,
Javascript Essentials 2,,https://www.netacad.com/courses/javascript-essentials-2,,,Netacad,,,,,,,,,,
Linux 1,,https://www.netacad.com/courses/linux-1,,,Netacad,,,,,,,,,,
Linux 2,,https://www.netacad.com/courses/linux-2,,,Netacad,,,,,,,,,,
Linux Essentials,,https://www.netacad.com/courses/linux-essentials,,,Netacad,,,,,,,,,,
Managing Business Venture,,https://www.netacad.com/courses/managing-business-venture,,,Netacad,,,,,,,,,,
Network Addressing And Basic Troubleshooting,,https://www.netacad.com/courses/network-addressing-and-basic-troubleshooting,,,Netacad,,,,,,,,,,
Network Defense,,https://www.netacad.com/courses/network-defense,,,Netacad,,,,,,,,,,
Network Support Security,,https://www.netacad.com/courses/network-support-security,,,Netacad,,,,,,,,,,
Networking Basics,,https://www.netacad.com/courses/networking-basics,,,Netacad,,,,,,,,,,
Networking Devices And Initial Configuration,,https://www.netacad.com/courses/networking-devices-and-initial-configuration,,,Netacad,,,,,,,,,,
Operating Systems Basics,,https://www.netacad.com/courses/operating-systems-basics,,,Netacad,,,,,,,,,,
Python Essentials 1,,https://www.netacad.com/courses/python-essentials-1,,,Netacad,,,,,,,,,,
Python Essentials 2,,https://www.netacad.com/courses/python-essentials-2,,,Netacad,,,,,,,,,,
