ID,Title,Excerpt,Permalink,Featured,Categorías de curso,Etiquetas de curso,_lp_duration,thim_course_skill_level,thim_course_language,thim_course_duration,_lp_free,_lp_price,_lp_level,_lp_external_link_buy_course,Author Username,site,raw_jsonld
,Introduction to Cybersecurity,Learn cybersecurity basics to protect your personal digital life and the biggest security challenges companies face today.,https://www.netacad.com/courses/introduction-to-cybersecurity?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/7dc6e66c-935b-4905-b315-61b12ecb801a/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Introduction to Cybersecurity"", ""description"": ""Learn cybersecurity basics to protect your personal digital life and the biggest security challenges companies face today."", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Getting Started with Cisco Packet Tracer,"Free online course introducing Cisco Packet Tracer, a network simulation and visualization tool by Cisco Networking Academy. Download and start today!",https://www.netacad.com/courses/getting-started-cisco-packet-tracer?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/76785269-1e27-4655-9b83-e62e008b4f2b/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Getting Started with Cisco Packet Tracer - Skills for All"", ""description"": ""Free online course introducing Cisco Packet Tracer, a network simulation and visualization tool by Cisco Networking Academy. Download and start today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Introduction to Data Science,Free online course to learn about Data Science - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/introduction-data-science?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/4a848e27-e505-46f7-9144-482051704e21/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Introduction to Data Science - Skills for All"", ""description"": ""Free online course to learn about Data Science - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Python Essentials 1 â Skills for All,Free online Python course. Learn the fundamentals of the Python programming language â from Cisco Networking Academy and Python Institute. Sign up today!,https://www.netacad.com/courses/python-essentials-1?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/407c875e-1b8b-11ec-9621-0242ac130003/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Python Essentials 1 â Skills for All"", ""description"": ""Free online Python course. Learn the fundamentals of the Python programming language â from Cisco Networking Academy and Python Institute. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Networking Basics,Free online course to learn about Networking Basics - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/networking-basics?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/37d55b0f-dedd-41ca-a33d-65c01569816b/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Networking Basics - Skills for All"", ""description"": ""Free online course to learn about Networking Basics - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Computer Hardware Basics,Free online course to learn about Computer Hardware Basics - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/computer-hardware-basics?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/3bdf0a34-8294-4c63-8c59-45698fad27ed/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Computer Hardware Basics - Skills for All"", ""description"": ""Free online course to learn about Computer Hardware Basics - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Introduction to Data Analytics Essentials,Free online course to learn data analytics essentials - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/data-analytics-essentials?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/ccd24c0e-1253-4cf7-a5b6-30a04c5731d6/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Introduction to Data Analytics Essentials - Skills for All"", ""description"": ""Free online course to learn data analytics essentials - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Cybersecurity Essentials,Learn from cybersecurity experts what a typical day in a cybersecurity career might look like and discover how modern threats drive more cybersecurity jobs.,https://www.netacad.com/courses/cybersecurity-essentials?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/9f5f26f1-052c-4e53-80e9-bd526d5a9db0/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Cybersecurity Essentials"", ""description"": ""Learn from cybersecurity experts what a typical day in a cybersecurity career might look like and discover how modern threats drive more cybersecurity jobs."", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Ethical Hacker,Become an ethical hacker and build your offensive security skills in this free online course - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/ethical-hacker?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/fc550241-ee17-45d1-87dd-1046b6aeb89a/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Ethical Hacker - Skills for All"", ""description"": ""Become an ethical hacker and build your offensive security skills in this free online course - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,English for IT 1,Free online course to learn English specific for jobs in IT - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/english-for-it1?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/dde17678-19e3-499f-835b-4f702b5343df/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""English for IT 1 - Skills for All"", ""description"": ""Free online course to learn English specific for jobs in IT - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Introduction to Internet of Things (IoT),Free online course to learn about Internet of Things (IoT) - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/introduction-iot?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/26173437-6058-48a2-b0fb-aa312eda0570/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Introduction to Internet of Things (IoT) - Skills for All"", ""description"": ""Free online course to learn about Internet of Things (IoT) - from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
,Cyber Threat Management,Free online course to learn cybersecurity threat management from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/cyber-threat-management?courseLang=en-US,https://www.netacad.com/p/ff9e491c-49be-4734-803e-a79e6e83dab1/407c875e-1b8b-11ec-9621-0242ac130002/image.png,,,,,,,,,,,,netacad.com,"[{""@context"": ""https://schema.org"", ""@type"": ""Course"", ""name"": ""Cyber Threat Management"", ""description"": ""Free online course to learn cybersecurity threat management from Cisco Networking Academy. Sign up today!"", ""provider"": {""@type"": ""Organization"", ""name"": ""Cisco Networking Academy"", ""sameAs"": ""https://www.netacad.com""}}]"
