schema:name,schema:description,schema:url,schema:image,dcterms:identifier,schema:provider,schema:inLanguage,schema:educationalLevel,schema:timeRequired,schema:about,schema:keywords,schema:isAccessibleForFree,schema:price,schema:priceCurrency,schema:offers_url,schema:educationalCredentialAwarded
Introduction to Modern AI,Free online course. Learn about AI and how to craft stellar chatbot prompts - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/introduction-to-modern-ai?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
Ethical Hacker - Skills for All,Become an ethical hacker and build your offensive security skills in this free online course - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/ethical-hacker?courseLang=en-US,,,Netacad,,Intermediate,PT70H,,,,,,,
Cisco Networking Academy: Learning Catalog,"Explore Cisco’s Learning Catalog with courses in networking, cybersecurity, IoT, and more to grow your tech skills.",https://www.netacad.com/courses/all-courses,,,Netacad,,Beginner,PT70H,,,,,,,
IT Support Essentials,"Begin your IT career. Gain hands-on skills in hardware, software, and customer service while preparing for the Cisco CCST IT Support certification.",https://www.netacad.com/courses/it-support-essentials?courseLang=en-US,,,Netacad,,Beginner,PT56H,,,,,,,
Exploring IoT with Cisco Packet Tracer - Skills for All,"Free online course to practice Internet of Things (IoT) skills in Cisco Packet Tracer, a virtual lab by Cisco Networking Academy. Sign up today!",https://www.netacad.com/courses/exploring-iot-cisco-packet-tracer?courseLang=en-US,,,Netacad,,Beginner,PT3H,,,,,,,
DevNet Associate ,"Learn best practices for software development, DevOps, and using Application Programming Interfaces (APIs), and get ready for DevNet Associate certification.",https://www.netacad.com/courses/devnet-associate?courseLang=en-US,,,Netacad,,Intermediate,PT70H,,,,,,,
Apply AI: Analyze Customer Reviews,Free online course to learn how to analyze customer reviews using AI - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/apply-ai-analyze-customer-reviews?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
Digital Awareness,"Free online course from Cisco Networking Academy to learn practical digital skills you can apply at home, school, or work, and how to stay safe online.",https://www.netacad.com/courses/digital-awareness?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
Operating Systems Basics - Skills for All,Free online course to learn about Operating Systems Basics - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/operating-systems-basics?courseLang=en-US,,,Netacad,,,PT12H,,,,,,,
Using Computer and Mobile Devices ,Free online course from Cisco Networking Academy to Learn basic skills on how to use computer and mobile devices effectively to access online services.,https://www.netacad.com/courses/computer-mobile-devices?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
CyberPatriot Content Course,"A national, U.S.-based online competition created to inspire K-12 students toward careers in cybersecurity and STEM. ",https://www.netacad.com/courses/cyberpatriot-content?courseLang=en-US,,,Netacad,,,,,,,,,,
Cybersecurity Essentials,Learn from cybersecurity experts what a typical day in a cybersecurity career might look like and discover how modern threats drive more cybersecurity jobs.,https://www.netacad.com/courses/cybersecurity-essentials?courseLang=en-US,,,Netacad,,Beginner,PT70H,,,,,,,
Digital Safety and Security Awareness,Free online course to learn about Digital Safety and Security Awareness - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/digital-safety-security?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
C++ Essentials 1: Intro to Programming for Beginners,"Dive into programming with C++ Essentials 1 to master the basics, flow control, and data types. Gear up for the CPE certification and advanced C++ learning.",https://www.netacad.com/courses/c-plus-plus-essentials-1?courseLang=en-US,,,Netacad,,Advanced,PT42H,,,,,,,
Exploring Networking with Cisco Packet Tracer - Skills for All,"Free online course to practice networking skills in Cisco Packet Tracer, a network simulation tool and virtual lab. By Cisco Networking Academy. Sign up today!",https://www.netacad.com/courses/exploring-networking-cisco-packet-tracer?courseLang=en-US,,,Netacad,,Beginner,PT3H,,,,,,,
Linux Unhatched: A Free 8-Hour Course Covering the Basics,"A free step-by-step introduction to Linux, the open-source operating system driving technological progress in supercomputers, cloud computing, and much more.",https://www.netacad.com/courses/linux-unhatched?courseLang=en-US,,,Netacad,,Beginner,PT8H,,,,,,,
Apply AI: Update Your Resume,Learn to use AI tools to build compelling resumes that pass ATS systems and engage hiring managers. Protect your privacy while enhancing your resume.,https://www.netacad.com/courses/apply-ai-update-your-resume?courseLang=en-US,,,Netacad,,Beginner,PT9H,,,,,,,
Introduction to Internet of Things (IoT) - Skills for All,Free online course to learn about Internet of Things (IoT) - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/introduction-iot?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
Discovering Entrepreneurship - Skills for All,Free online course to learn about Entrepreneurship - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/discovering-entrepreneurship?courseLang=en-US,,,Netacad,,Beginner,PT20H,,,,,,,
Creating Compelling Reports,Learn the art of writing reports like a pro for free in as little as four hours.,https://www.netacad.com/courses/compelling-reports?courseLang=en-US,,,Netacad,,Beginner,PT4H,,,,,,,
Introduction to Cybersecurity,Learn cybersecurity basics to protect your personal digital life and the biggest security challenges companies face today.,https://www.netacad.com/courses/introduction-to-cybersecurity?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
JavaScript Essentials 1: A Free Course from Cisco,"Design, develop, and improve JavaScript programs with this free course in partnership with the JavaScript Institute. Learn JavaScript now!",https://www.netacad.com/courses/javascript-essentials-1?courseLang=en-US,,,Netacad,,Advanced,PT40H,,,,,,,
HTML Essentials,Free online course. Learn HTML basics and start building web pages - from Cisco Networking Academy. Enroll today!,https://www.netacad.com/courses/html-essentials?courseLang=en-US,,,Netacad,,Beginner,PT30H,,,,,,,
Cyber Threat Management,Free online course to learn cybersecurity threat management from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/cyber-threat-management?courseLang=en-US,,,Netacad,,Advanced,PT16H,,,,,,,
Networking Basics - Skills for All,Free online course to learn about Networking Basics - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/networking-basics?courseLang=en-US,,,Netacad,,Beginner,PT22H,,,,,,,
IT Customer Support Basics,Gain important IT support skills. Prepare for entry-level IT roles with our help desk and customer service course. Begin your IT career today.,https://www.netacad.com/courses/it-customer-support-basics?courseLang=en-US,,,Netacad,,Beginner,PT4H,,,,,,,
Getting Started with Cisco Packet Tracer - Skills for All,"Free online course introducing Cisco Packet Tracer, a network simulation and visualization tool by Cisco Networking Academy. Download and start today!",https://www.netacad.com/courses/getting-started-cisco-packet-tracer?courseLang=en-US,,,Netacad,,Beginner,PT2H,,,,,,,
CCNP Enterprise: Advanced Routing,"The second in a two-course series to become an advanced networking expert. Prepare for professional-level jobs as a Network Administrator, System Administrator, or Network Engineer.",https://www.netacad.com/courses/ccnp-enterprise-advanced-routing?courseLang=en-US,,,Netacad,,Advanced,PT70H,,,,,,,
Linux Essentials,Linux Essentials: Prepare for the LPI Linux Essentials Exam.,https://www.netacad.com/courses/linux-essentials?courseLang=en-US,,,Netacad,,Intermediate,PT70H,,,,,,,
CCNP Enterprise: Advanced Routing (v9),"The second in a two-course series to become an advanced networking expert. Prepare for professional-level jobs as a Network Administrator, System Administrator, or Network Engineer.  ",https://www.netacad.com/courses/ccnp-enterprise-advanced-routing-cu-v26h1?courseLang=en-US,,,Netacad,,Advanced,PT70H,,,,,,,
CyberOps Associate ,"Learn to monitor, detect, and respond to cyber threats and security incidents as you prepare for CyberOps Associate certification.",https://www.netacad.com/courses/cyberops-associate?courseLang=en-US,,,Netacad,,Intermediate,PT70H,,,,,,,
Computer Hardware Basics - Skills for All,Free online course to learn about Computer Hardware Basics - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/computer-hardware-basics?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
"Create Digital Content, Communicate and Collaborate Online",Free online course. Learn to create digital documents and use collaborative tools for hybrid and remote work - from Cisco Networking Academy. Sign up today!,https://www.netacad.com/courses/create-communicate-collaborate?courseLang=en-US,,,Netacad,,Beginner,PT6H,,,,,,,
